trend,ntweets,nretweets,nmentions,k,L,clustering,betweenness,entropy,diam_rt,v_rt,diam_ment,v_ment,r,burst
nameyourfavoriterapper,16.833333333333332,2.7045454545454546,1.7651515151515151,2.0687706076307117,6.916985571627055,0.00020919770927399272,0.008388685436814505,0.08271616164005363,4,11,6,7,-0.21664077887145747,1
wrestlemania,6.709821428571429,0.5580357142857143,0.3958333333333333,2.7231270358306188,8.424193636422737,0.0016768456813862713,0.014181603269118655,0.1944140466741254,3,9,3,12,-0.26830358659580544,1
rip,6.924019607843137,0.9816176470588235,0.3492647058823529,2.2181818181818183,7.644197845765697,0.0018998060793693696,0.00746223476180492,0.2947046605579763,2,10,3,4,-0.28775698838785146,0
bigtimerush,6.6767676767676765,0.4861111111111111,0.18055555555555555,5.055292259083728,5.221831057569036,0.022807392106944685,0.00784106009413409,0.3770661998282093,4,6,3,3,-0.3014499364062819,1
sadtweet,8.653186274509803,0.875,0.7279411764705882,2.2011173184357538,4.1630170316301705,0.0014362540134333797,0.009141371674793213,0.4145628967210428,2,3,2,4,-0.19882006329313512,0
nowthatimolder,11.51875,2.745833333333333,0.24166666666666667,2.087542087542088,8.832746708382219,0.0003928568240967459,0.006642493221657707,0.0805353673131345,4,29,2,3,-0.20136417639330798,1
s,6.045343137254902,1.1213235294117647,0.991421568627451,2.4280936454849504,4.902928964201549,0.0033867853579114147,0.006927449342493615,0.29671164878067013,2,8,3,17,-0.23162816246807297,0
justrememberthat,34.013888888888886,6.273148148148148,0.8518518518518519,2.0980207351555142,7.802647488690789,0.0003798106791044086,0.006187318200637838,0.09689474969583894,4,24,2,4,-0.21408500398766217,1
morefemalesshould,12.962962962962964,2.7893518518518516,0.33564814814814814,2.1973684210526314,7.2521341591857995,0.0007399065306602159,0.007358649811409651,0.09030816781289903,5,37,2,3,-0.21755525954076504,1
thatawkwardmoment,6.947303921568627,1.1654411764705883,0.38112745098039214,2.523076923076923,4.069689495984317,0.001488963524169937,0.010007761927669783,0.33315585278905374,3,17,3,4,-0.26302805053235,0
wtf,11.533088235294118,0.8259803921568627,0.5196078431372549,2.144144144144144,4.163499154488782,0.00100359762875202,0.004501063340763494,0.4196090205800928,2,8,3,4,-0.22325469280521956,0
turnon,7.138480392156863,1.2156862745098038,0.26838235294117646,2.3448275862068964,4.531283755712505,0.0032206300126825255,0.01149415458406989,0.3428681334761611,3,18,2,4,-0.16732170874427257,1
serioustweet,5.549019607843137,0.803921568627451,0.6458333333333334,2.2206896551724142,4.643274853801169,0.0020010209185833848,0.006151787313518089,0.24006515794760896,2,5,2,4,-0.25836718118495594,0
1dfamily,5.430147058823529,0.7536764705882353,0.6017156862745098,2.5038719669592147,6.153349001175088,0.0021873010830662015,0.012514153951981676,0.3753119345025003,3,9,2,8,-0.25482474601610333,0
thevoice,6.611519607843137,0.45588235294117646,0.23039215686274508,2.7676688793440056,8.092128899855014,0.002525074839226944,0.024526665729021953,0.2749817175762699,3,21,3,14,-0.2580740579849573,1
2omf,9.531862745098039,1.2181372549019607,0.49387254901960786,2.263736263736264,6.2214666139899775,0.00198664947817531,0.004126116987017689,0.25901133281247674,2,2,2,5,-0.2704584918230079,0
